,movie,year,imdb,votes,metascore
1149,Hooligans,(2005),7.5,134070,55
1150,Batman Begins,(2005),8.2,1200690,70
1151,V for Vendetta,(2005),8.2,956567,62
1152,Sin City,(2005),8.0,716576,74
1153,Star Wars: Episode III - Revenge of the Sith,(2005),7.6,643521,68
1154,How I Met Your Mother,(2005–2014),8.3,545648,NaN
1155,Harry Potter and the Goblet of Fire,(2005),7.7,492038,81
1156,Prison Break,(2005–2017),8.4,433567,NaN
1157,Mr. & Mrs. Smith,(2005),6.5,418801,55
1158,Charlie and the Chocolate Factory,(2005),6.6,391609,72
1159,War of the Worlds,(2005),6.5,389178,73
1160,King Kong,(2005),7.2,368750,81
1161,The 40 Year Old Virgin,(2005),7.1,366382,73
1162,Supernatural,(2005– ),8.5,354598,NaN
1163,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",(2005),6.9,341553,75
1164,Madagascar,(2005),6.9,334351,57
1165,Wedding Crashers,(2005),7.0,315623,64
1166,The Office,(2005–2013),8.8,303066,NaN
1167,Brokeback Mountain,(2005),7.7,300843,87
1168,Fantastic Four,(I) (2005),5.7,298092,40
1169,The Island,(2005),6.9,288742,50
1170,Constantine,(2005),7.0,280490,50
1171,Hitch,(I) (2005),6.6,278834,58
1172,Lord of War,(2005),7.6,278701,62
1173,Serenity,(2005),7.9,270996,74
1174,Kingdom of Heaven,(2005),7.2,251288,63
1175,Pride & Prejudice,(2005),7.8,231780,82
1176,Corpse Bride,(2005),7.4,224440,83
1177,Saw II,(2005),6.6,218563,40
1178,Grey's Anatomy,(2005– ),7.6,214798,NaN
1179,Walk the Line,(2005),7.9,213636,72
1180,A History of Violence,(2005),7.5,211474,81
1181,Thank You for Smoking,(2005),7.6,206280,71
1182,Kiss Kiss Bang Bang,(2005),7.6,203032,72
1183,Munich,(2005),7.6,199297,74
1184,Avatar: The Last Airbender,(2005–2008),9.2,193922,NaN
1185,Match Point,(2005),7.6,192013,72
1186,The Descent,(2005),7.2,185624,71
1187,Doctor Who,(2005– ),8.7,184828,NaN
1188,Transporter 2,(2005),6.3,180537,56
1189,The Hitchhiker's Guide to the Galaxy,(2005),6.8,177995,63
1190,It's Always Sunny in Philadelphia,(2005– ),8.7,171860,NaN
1191,Cinderella Man,(2005),8.0,166954,69
1192,Jarhead,(2005),7.0,162454,58
1193,Hostel,(2005),5.9,159472,55
1194,The Longest Yard,(2005),6.4,151110,48
1195,Hard Candy,(2005),7.1,147236,58
1196,Flightplan,(2005),6.3,144123,53
1197,Rome,(2005–2007),8.8,142036,NaN
1198,Criminal Minds,(2005– ),8.1,139261,NaN
1199,Hooligans,(2005),7.5,134070,55
1200,The Departed,(2006),8.5,1082417,85
1201,The Prestige,(2006),8.5,1072876,66
1202,300,(2006),7.7,694206,52
1203,The Big Bang Theory,(2007–2019),8.2,654530,NaN
1204,Pirates of the Caribbean: Dead Man's Chest,(2006),7.3,615409,53
1205,Dexter,(2006–2013),8.7,602140,NaN
1206,Pan's Labyrinth,(2006),8.2,574918,98
1207,Casino Royale,(2006),8.0,541372,80
1208,Blood Diamond,(2006),8.0,464546,64
1209,X-Men: The Last Stand,(2006),6.7,455844,58
1210,Children of Men,(2006),7.9,431297,84
1211,Little Miss Sunshine,(2006),7.8,411158,80
1212,The Pursuit of Happyness,(2006),8.0,407616,64
1213,The Da Vinci Code,(2006),6.6,373719,46
1214,The Devil Wears Prada,(2006),6.9,341388,62
1215,The Illusionist,(2006),7.6,337489,68
1216,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,(2006),7.3,333425,89
1217,Cars,(2006),7.1,332066,73
1218,The Lives of Others,(2006),8.4,325339,89
1219,Inside Man,(2006),7.6,314659,76
1220,Mission: Impossible III,(2006),6.9,307765,66
1221,Lucky Number Slevin,(2006),7.8,288881,53
1222,Night at the Museum,(2006),6.4,288670,48
1223,Click,(2006),6.4,284916,45
1224,Deja Vu,(2006),7.1,277112,59
1225,Babel,(I) (2006),7.5,274126,69
1226,Apocalypto,(2006),7.8,271560,68
1227,Superman Returns,(2006),6.1,261021,72
1228,Ice Age: The Meltdown,(2006),6.8,236175,58
1229,Crank,(2006),7.0,222500,57
1230,The Holiday,(2006),6.9,221303,52
1231,The Fast and the Furious: Tokyo Drift,(2006),6.0,220447,45
1232,Perfume: The Story of a Murderer,(2006),7.5,220395,56
1233,Heroes,(II) (2006–2010),7.6,219345,NaN
1234,The Fountain,(2006),7.3,216956,51
1235,Stranger Than Fiction,(2006),7.6,207322,67
1236,Silent Hill,(2006),6.6,203216,31
1237,Rocky Balboa,(2006),7.2,191326,63
1238,Death Note: Desu nôto,(2006–2007),9.0,188266,NaN
1239,Underworld: Evolution,(2006),6.7,180659,36
1240,Saw III,(2006),6.2,166980,48
1241,The Last King of Scotland,(2006),7.7,165996,74
1242,Happy Feet,(2006),6.5,158352,77
1243,Talladega Nights: The Ballad of Ricky Bobby,(2006),6.6,154796,66
1244,Planet Earth,(2006),9.4,150506,NaN
1245,The Hills Have Eyes,(2006),6.4,149442,52
1246,Over the Hedge,(2006),6.7,148307,67
1247,Letters from Iwo Jima,(2006),7.9,146779,89
1248,She's the Man,(2006),6.4,137530,45
1249,Idiocracy,(2006),6.6,132711,66
1250,The Departed,(2006),8.5,1082417,85
1251,The Prestige,(2006),8.5,1072876,66
1252,300,(2006),7.7,694206,52
1253,The Big Bang Theory,(2007–2019),8.2,654530,NaN
1254,Pirates of the Caribbean: Dead Man's Chest,(2006),7.3,615409,53
1255,Dexter,(2006–2013),8.7,602131,NaN
1256,Pan's Labyrinth,(2006),8.2,574918,98
1257,Casino Royale,(2006),8.0,541372,80
1258,Blood Diamond,(2006),8.0,464546,64
1259,X-Men: The Last Stand,(2006),6.7,455844,58
1260,Children of Men,(2006),7.9,431297,84
1261,Little Miss Sunshine,(2006),7.8,411158,80
1262,The Pursuit of Happyness,(2006),8.0,407616,64
1263,The Da Vinci Code,(2006),6.6,373719,46
1264,The Devil Wears Prada,(2006),6.9,341388,62
1265,The Illusionist,(2006),7.6,337489,68
1266,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,(2006),7.3,333425,89
1267,Cars,(2006),7.1,332066,73
1268,The Lives of Others,(2006),8.4,325339,89
1269,Inside Man,(2006),7.6,314659,76
1270,Mission: Impossible III,(2006),6.9,307765,66
1271,Lucky Number Slevin,(2006),7.8,288881,53
1272,Night at the Museum,(2006),6.4,288670,48
1273,Click,(2006),6.4,284916,45
1274,Deja Vu,(2006),7.1,277112,59
1275,Babel,(I) (2006),7.5,274126,69
1276,Apocalypto,(2006),7.8,271560,68
1277,Superman Returns,(2006),6.1,261021,72
1278,Ice Age: The Meltdown,(2006),6.8,236175,58
1279,Crank,(2006),7.0,222500,57
1280,The Holiday,(2006),6.9,221303,52
1281,The Fast and the Furious: Tokyo Drift,(2006),6.0,220447,45
1282,Perfume: The Story of a Murderer,(2006),7.5,220395,56
1283,Heroes,(II) (2006–2010),7.6,219343,NaN
1284,The Fountain,(2006),7.3,216956,51
1285,Stranger Than Fiction,(2006),7.6,207322,67
1286,Silent Hill,(2006),6.6,203216,31
1287,Rocky Balboa,(2006),7.2,191326,63
1288,Death Note: Desu nôto,(2006–2007),9.0,188266,NaN
1289,Underworld: Evolution,(2006),6.7,180659,36
1290,Saw III,(2006),6.2,166980,48
1291,The Last King of Scotland,(2006),7.7,165996,74
1292,Happy Feet,(2006),6.5,158352,77
1293,Talladega Nights: The Ballad of Ricky Bobby,(2006),6.6,154796,66
1294,Planet Earth,(2006),9.4,150506,NaN
1295,The Hills Have Eyes,(2006),6.4,149442,52
1296,Over the Hedge,(2006),6.7,148307,67
1297,Letters from Iwo Jima,(2006),7.9,146779,89
1298,She's the Man,(2006),6.4,137530,45
1299,Idiocracy,(2006),6.6,132711,66
1300,The Departed,(2006),8.5,1082417,85
1301,The Prestige,(2006),8.5,1072876,66
1302,300,(2006),7.7,694206,52
1303,The Big Bang Theory,(2007–2019),8.2,654530,NaN
1304,Pirates of the Caribbean: Dead Man's Chest,(2006),7.3,615409,53
1305,Dexter,(2006–2013),8.7,602140,NaN
1306,Pan's Labyrinth,(2006),8.2,574918,98
1307,Casino Royale,(2006),8.0,541372,80
1308,Blood Diamond,(2006),8.0,464546,64
1309,X-Men: The Last Stand,(2006),6.7,455844,58
1310,Children of Men,(2006),7.9,431297,84
1311,Little Miss Sunshine,(2006),7.8,411158,80
1312,The Pursuit of Happyness,(2006),8.0,407616,64
1313,The Da Vinci Code,(2006),6.6,373719,46
1314,The Devil Wears Prada,(2006),6.9,341388,62
1315,The Illusionist,(2006),7.6,337489,68
1316,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,(2006),7.3,333425,89
1317,Cars,(2006),7.1,332066,73
1318,The Lives of Others,(2006),8.4,325339,89
1319,Inside Man,(2006),7.6,314659,76
1320,Mission: Impossible III,(2006),6.9,307765,66
1321,Lucky Number Slevin,(2006),7.8,288881,53
1322,Night at the Museum,(2006),6.4,288670,48
1323,Click,(2006),6.4,284916,45
1324,Deja Vu,(2006),7.1,277112,59
1325,Babel,(I) (2006),7.5,274126,69
1326,Apocalypto,(2006),7.8,271560,68
1327,Superman Returns,(2006),6.1,261021,72
1328,Ice Age: The Meltdown,(2006),6.8,236175,58
1329,Crank,(2006),7.0,222500,57
1330,The Holiday,(2006),6.9,221303,52
1331,The Fast and the Furious: Tokyo Drift,(2006),6.0,220447,45
1332,Perfume: The Story of a Murderer,(2006),7.5,220395,56
1333,Heroes,(II) (2006–2010),7.6,219343,NaN
1334,The Fountain,(2006),7.3,216956,51
1335,Stranger Than Fiction,(2006),7.6,207322,67
1336,Silent Hill,(2006),6.6,203216,31
1337,Rocky Balboa,(2006),7.2,191326,63
1338,Death Note: Desu nôto,(2006–2007),9.0,188266,NaN
1339,Underworld: Evolution,(2006),6.7,180659,36
1340,Saw III,(2006),6.2,166980,48
1341,The Last King of Scotland,(2006),7.7,165996,74
1342,Happy Feet,(2006),6.5,158352,77
1343,Talladega Nights: The Ballad of Ricky Bobby,(2006),6.6,154796,66
1344,Planet Earth,(2006),9.4,150506,NaN
1345,The Hills Have Eyes,(2006),6.4,149442,52
1346,Over the Hedge,(2006),6.7,148307,67
1347,Letters from Iwo Jima,(2006),7.9,146779,89
1348,She's the Man,(2006),6.4,137530,45
1349,Idiocracy,(2006),6.6,132711,66
1350,The Departed,(2006),8.5,1082417,85
1351,The Prestige,(2006),8.5,1072876,66
1352,300,(2006),7.7,694206,52
1353,The Big Bang Theory,(2007–2019),8.2,654530,NaN
1354,Pirates of the Caribbean: Dead Man's Chest,(2006),7.3,615409,53
1355,Dexter,(2006–2013),8.7,602131,NaN
1356,Pan's Labyrinth,(2006),8.2,574918,98
1357,Casino Royale,(2006),8.0,541372,80
1358,Blood Diamond,(2006),8.0,464546,64
1359,X-Men: The Last Stand,(2006),6.7,455844,58
1360,Children of Men,(2006),7.9,431297,84
1361,Little Miss Sunshine,(2006),7.8,411158,80
1362,The Pursuit of Happyness,(2006),8.0,407616,64
1363,The Da Vinci Code,(2006),6.6,373719,46
1364,The Devil Wears Prada,(2006),6.9,341388,62
1365,The Illusionist,(2006),7.6,337489,68
1366,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,(2006),7.3,333425,89
1367,Cars,(2006),7.1,332066,73
1368,The Lives of Others,(2006),8.4,325339,89
1369,Inside Man,(2006),7.6,314659,76
1370,Mission: Impossible III,(2006),6.9,307765,66
1371,Lucky Number Slevin,(2006),7.8,288881,53
1372,Night at the Museum,(2006),6.4,288670,48
1373,Click,(2006),6.4,284916,45
1374,Deja Vu,(2006),7.1,277112,59
1375,Babel,(I) (2006),7.5,274126,69
1376,Apocalypto,(2006),7.8,271560,68
1377,Superman Returns,(2006),6.1,261021,72
1378,Ice Age: The Meltdown,(2006),6.8,236175,58
1379,Crank,(2006),7.0,222500,57
1380,The Holiday,(2006),6.9,221303,52
1381,The Fast and the Furious: Tokyo Drift,(2006),6.0,220447,45
1382,Perfume: The Story of a Murderer,(2006),7.5,220395,56
1383,Heroes,(II) (2006–2010),7.6,219345,NaN
1384,The Fountain,(2006),7.3,216956,51
1385,Stranger Than Fiction,(2006),7.6,207322,67
1386,Silent Hill,(2006),6.6,203216,31
1387,Rocky Balboa,(2006),7.2,191326,63
1388,Death Note: Desu nôto,(2006–2007),9.0,188272,NaN
1389,Underworld: Evolution,(2006),6.7,180659,36
1390,Saw III,(2006),6.2,166980,48
1391,The Last King of Scotland,(2006),7.7,165996,74
1392,Happy Feet,(2006),6.5,158352,77
1393,Talladega Nights: The Ballad of Ricky Bobby,(2006),6.6,154796,66
1394,Planet Earth,(2006),9.4,150506,NaN
1395,The Hills Have Eyes,(2006),6.4,149442,52
1396,Over the Hedge,(2006),6.7,148307,67
1397,Letters from Iwo Jima,(2006),7.9,146779,89
1398,She's the Man,(2006),6.4,137530,45
1399,Idiocracy,(2006),6.6,132711,66
1400,No Country for Old Men,(2007),8.1,771498,91
1401,I Am Legend,(2007),7.2,637126,65
1402,Ratatouille,(2007),8.0,583693,96
1403,The Bourne Ultimatum,(2007),8.0,580930,85
1404,Transformers,(2007),7.1,571077,61
1405,Pirates of the Caribbean: At World's End,(2007),7.1,558955,50
1406,Into the Wild,(2007),8.1,526420,73
1407,Superbad,(2007),7.6,485261,76
1408,Juno,(2007),7.5,467328,81
1409,There Will Be Blood,(2007),8.2,466100,93
1410,Spider-Man 3,(2007),6.2,464119,59
1411,Harry Potter and the Order of the Phoenix,(2007),7.5,456839,71
1412,Hot Fuzz,(2007),7.9,427448,81
1413,Zodiac,(2007),7.7,394864,78
1414,Live Free or Die Hard,(2007),7.1,372059,69
1415,American Gangster,(2007),7.8,368450,76
1416,Knocked Up,(2007),7.0,333093,85
1417,Sweeney Todd: The Demon Barber of Fleet Street,(2007),7.4,323465,83
1418,Ocean's Thirteen,(2007),6.9,298529,62
1419,The Simpsons Movie,(2007),7.3,293173,80
1420,Shooter,(I) (2007),7.2,292826,53
1421,3:10 to Yuma,(2007),7.7,270913,76
1422,The Mist,(2007),7.2,261918,58
1423,Shrek the Third,(2007),6.1,257382,58
1424,Death Proof,(2007),7.0,244917,NaN
1425,28 Weeks Later,(2007),7.0,242598,78
1426,1408,(2007),6.8,242323,64
1427,4: Rise of the Silver Surfer,(2007),5.6,239689,45
1428,Stardust,(2007),7.7,239601,66
1429,Gone Baby Gone,(2007),7.7,235048,72
1430,Atonement,(2007),7.8,229363,85
1431,Sunshine,(2007),7.3,220669,64
1432,Eastern Promises,(2007),7.6,215089,82
1433,The Bucket List,(2007),7.4,214999,42
1434,Ghost Rider,(2007),5.2,210147,35
1435,Paranormal Activity,(2007),6.3,208653,68
1436,Disturbia,(2007),6.9,208090,62
1437,National Treasure: Book of Secrets,(2007),6.5,205919,48
1438,P.S. I Love You,(2007),7.1,191885,39
1439,Planet Terror,(2007),7.1,189193,NaN
1440,The Number 23,(2007),6.4,184928,NaN
1441,Mad Men,(2007–2015),8.6,182447,NaN
1442,Resident Evil: Extinction,(2007),6.3,173851,41
1443,Grindhouse,(2007),7.6,170249,77
1444,Fracture,(2007),7.2,170040,68
1445,The Golden Compass,(2007),6.1,168128,51
1446,The Darjeeling Limited,(2007),7.2,166094,67
1447,Enchanted,(2007),7.1,165774,75
1448,Californication,(2007–2014),8.3,164311,NaN
1449,The Man from Earth,(2007),7.9,160967,NaN
1450,No Country for Old Men,(2007),8.1,771498,91
1451,I Am Legend,(2007),7.2,637126,65
1452,Ratatouille,(2007),8.0,583700,96
1453,The Bourne Ultimatum,(2007),8.0,580930,85
1454,Transformers,(2007),7.1,571077,61
1455,Pirates of the Caribbean: At World's End,(2007),7.1,558955,50
1456,Into the Wild,(2007),8.1,526420,73
1457,Superbad,(2007),7.6,485261,76
1458,Juno,(2007),7.5,467328,81
1459,There Will Be Blood,(2007),8.2,466100,93
1460,Spider-Man 3,(2007),6.2,464119,59
1461,Harry Potter and the Order of the Phoenix,(2007),7.5,456844,71
1462,Hot Fuzz,(2007),7.9,427448,81
1463,Zodiac,(2007),7.7,394864,78
1464,Live Free or Die Hard,(2007),7.1,372059,69
1465,American Gangster,(2007),7.8,368454,76
1466,Knocked Up,(2007),7.0,333093,85
1467,Sweeney Todd: The Demon Barber of Fleet Street,(2007),7.4,323465,83
1468,Ocean's Thirteen,(2007),6.9,298529,62
1469,The Simpsons Movie,(2007),7.3,293173,80
1470,Shooter,(I) (2007),7.2,292826,53
1471,3:10 to Yuma,(2007),7.7,270916,76
1472,The Mist,(2007),7.2,261918,58
1473,Shrek the Third,(2007),6.1,257382,58
1474,Death Proof,(2007),7.0,244917,NaN
1475,28 Weeks Later,(2007),7.0,242598,78
1476,1408,(2007),6.8,242323,64
1477,4: Rise of the Silver Surfer,(2007),5.6,239689,45
1478,Stardust,(2007),7.7,239601,66
1479,Gone Baby Gone,(2007),7.7,235049,72
1480,Atonement,(2007),7.8,229363,85
1481,Sunshine,(2007),7.3,220669,64
1482,Eastern Promises,(2007),7.6,215089,82
1483,The Bucket List,(2007),7.4,214999,42
1484,Ghost Rider,(2007),5.2,210147,35
1485,Paranormal Activity,(2007),6.3,208653,68
1486,Disturbia,(2007),6.9,208090,62
1487,National Treasure: Book of Secrets,(2007),6.5,205919,48
1488,P.S. I Love You,(2007),7.1,191885,39
1489,Planet Terror,(2007),7.1,189193,NaN
1490,The Number 23,(2007),6.4,184928,NaN
1491,Mad Men,(2007–2015),8.6,182447,NaN
1492,Resident Evil: Extinction,(2007),6.3,173851,41
1493,Grindhouse,(2007),7.6,170249,77
1494,Fracture,(2007),7.2,170040,68
1495,The Golden Compass,(2007),6.1,168128,51
1496,The Darjeeling Limited,(2007),7.2,166094,67
1497,Enchanted,(2007),7.1,165774,75
1498,Californication,(2007–2014),8.3,164311,NaN
1499,The Man from Earth,(2007),7.9,160967,NaN
1500,No Country for Old Men,(2007),8.1,771498,91
1501,I Am Legend,(2007),7.2,637126,65
1502,Ratatouille,(2007),8.0,583700,96
1503,The Bourne Ultimatum,(2007),8.0,580930,85
1504,Transformers,(2007),7.1,571077,61
1505,Pirates of the Caribbean: At World's End,(2007),7.1,558955,50
1506,Into the Wild,(2007),8.1,526420,73
1507,Superbad,(2007),7.6,485261,76
1508,Juno,(2007),7.5,467328,81
1509,There Will Be Blood,(2007),8.2,466100,93
1510,Spider-Man 3,(2007),6.2,464122,59
1511,Harry Potter and the Order of the Phoenix,(2007),7.5,456844,71
1512,Hot Fuzz,(2007),7.9,427448,81
1513,Zodiac,(2007),7.7,394864,78
1514,Live Free or Die Hard,(2007),7.1,372059,69
1515,American Gangster,(2007),7.8,368454,76
1516,Knocked Up,(2007),7.0,333093,85
1517,Sweeney Todd: The Demon Barber of Fleet Street,(2007),7.4,323465,83
1518,Ocean's Thirteen,(2007),6.9,298529,62
1519,The Simpsons Movie,(2007),7.3,293173,80
1520,Shooter,(I) (2007),7.2,292826,53
1521,3:10 to Yuma,(2007),7.7,270916,76
1522,The Mist,(2007),7.2,261918,58
1523,Shrek the Third,(2007),6.1,257382,58
1524,Death Proof,(2007),7.0,244917,NaN
1525,28 Weeks Later,(2007),7.0,242598,78
1526,1408,(2007),6.8,242323,64
1527,4: Rise of the Silver Surfer,(2007),5.6,239689,45
1528,Stardust,(2007),7.7,239601,66
1529,Gone Baby Gone,(2007),7.7,235049,72
1530,Atonement,(2007),7.8,229363,85
1531,Sunshine,(2007),7.3,220669,64
1532,Eastern Promises,(2007),7.6,215089,82
1533,The Bucket List,(2007),7.4,214999,42
1534,Ghost Rider,(2007),5.2,210147,35
1535,Paranormal Activity,(2007),6.3,208653,68
1536,Disturbia,(2007),6.9,208090,62
1537,National Treasure: Book of Secrets,(2007),6.5,205919,48
1538,P.S. I Love You,(2007),7.1,191885,39
1539,Planet Terror,(2007),7.1,189193,NaN
1540,The Number 23,(2007),6.4,184928,NaN
1541,Mad Men,(2007–2015),8.6,182447,NaN
1542,Resident Evil: Extinction,(2007),6.3,173851,41
1543,Grindhouse,(2007),7.6,170249,77
1544,Fracture,(2007),7.2,170040,68
1545,The Golden Compass,(2007),6.1,168128,51
1546,The Darjeeling Limited,(2007),7.2,166094,67
1547,Enchanted,(2007),7.1,165774,75
1548,Californication,(2007–2014),8.3,164311,NaN
1549,The Man from Earth,(2007),7.9,160967,NaN
1550,No Country for Old Men,(2007),8.1,771498,91
1551,I Am Legend,(2007),7.2,637126,65
1552,Ratatouille,(2007),8.0,583700,96
1553,The Bourne Ultimatum,(2007),8.0,580930,85
1554,Transformers,(2007),7.1,571077,61
1555,Pirates of the Caribbean: At World's End,(2007),7.1,558955,50
1556,Into the Wild,(2007),8.1,526420,73
1557,Superbad,(2007),7.6,485261,76
1558,Juno,(2007),7.5,467328,81
1559,There Will Be Blood,(2007),8.2,466100,93
1560,Spider-Man 3,(2007),6.2,464122,59
1561,Harry Potter and the Order of the Phoenix,(2007),7.5,456844,71
1562,Hot Fuzz,(2007),7.9,427448,81
1563,Zodiac,(2007),7.7,394864,78
1564,Live Free or Die Hard,(2007),7.1,372059,69
1565,American Gangster,(2007),7.8,368454,76
1566,Knocked Up,(2007),7.0,333093,85
1567,Sweeney Todd: The Demon Barber of Fleet Street,(2007),7.4,323465,83
1568,Ocean's Thirteen,(2007),6.9,298529,62
1569,The Simpsons Movie,(2007),7.3,293173,80
1570,Shooter,(I) (2007),7.2,292826,53
1571,3:10 to Yuma,(2007),7.7,270916,76
1572,The Mist,(2007),7.2,261918,58
1573,Shrek the Third,(2007),6.1,257382,58
1574,Death Proof,(2007),7.0,244917,NaN
1575,28 Weeks Later,(2007),7.0,242598,78
1576,1408,(2007),6.8,242323,64
1577,4: Rise of the Silver Surfer,(2007),5.6,239689,45
1578,Stardust,(2007),7.7,239601,66
1579,Gone Baby Gone,(2007),7.7,235049,72
1580,Atonement,(2007),7.8,229363,85
1581,Sunshine,(2007),7.3,220669,64
1582,Eastern Promises,(2007),7.6,215089,82
1583,The Bucket List,(2007),7.4,214999,42
1584,Ghost Rider,(2007),5.2,210147,35
1585,Paranormal Activity,(2007),6.3,208653,68
1586,Disturbia,(2007),6.9,208090,62
1587,National Treasure: Book of Secrets,(2007),6.5,205919,48
1588,P.S. I Love You,(2007),7.1,191885,39
1589,Planet Terror,(2007),7.1,189193,NaN
1590,The Number 23,(2007),6.4,184928,NaN
1591,Mad Men,(2007–2015),8.6,182447,NaN
1592,Resident Evil: Extinction,(2007),6.3,173851,41
1593,Grindhouse,(2007),7.6,170249,77
1594,Fracture,(2007),7.2,170040,68
1595,The Golden Compass,(2007),6.1,168128,51
1596,The Darjeeling Limited,(2007),7.2,166094,67
1597,Enchanted,(2007),7.1,165774,75
1598,Californication,(2007–2014),8.3,164311,NaN
1599,The Man from Earth,(2007),7.9,160967,NaN
1600,The Dark Knight,(2008),9.0,2078768,84
1601,Breaking Bad,(2008–2013),9.5,1232827,NaN
1602,WALL·E,(2008),8.4,912884,95
1603,Iron Man,(2008),7.9,870632,79
1604,Slumdog Millionaire,(2008),8.0,749684,86
1605,Gran Torino,(2008),8.1,672762,72
1606,The Curious Case of Benjamin Button,(2008),7.8,541851,70
1607,Taken,(I) (2008),7.8,539945,51
1608,Hancock,(2008),6.4,414123,49
1609,The Incredible Hulk,(2008),6.7,405109,61
1610,Twilight,(I) (2008),5.2,396116,56
1611,Indiana Jones and the Kingdom of the Crystal Skull,(2008),6.2,394947,65
1612,The Hurt Locker,(2008),7.6,394128,94
1613,Kung Fu Panda,(2008),7.6,383581,73
1614,Quantum of Solace,(2008),6.6,378895,58
1615,In Bruges,(2008),7.9,363120,67
1616,Tropic Thunder,(2008),7.0,352988,71
1617,Cloverfield,(2008),7.0,352343,64
1618,Wanted,(2008),6.7,341312,64
1619,Yes Man,(2008),6.8,311911,46
1620,Pineapple Express,(2008),7.0,295056,64
1621,Burn After Reading,(2008),7.0,288708,63
1622,The Wrestler,(2008),7.9,277791,81
1623,Jumper,(2008),6.1,273029,35
1624,Seven Pounds,(2008),7.6,269353,36
1625,Forgetting Sarah Marshall,(2008),7.2,248565,67
1626,Step Brothers,(2008),6.9,247928,51
1627,Hellboy II: The Golden Army,(2008),7.0,242563,78
1628,Sons of Anarchy,(2008–2014),8.6,232249,NaN
1629,Vicky Cristina Barcelona,(2008),7.1,228447,70
1630,Changeling,(2008),7.7,223780,63
1631,RocknRolla,(2008),7.3,220532,53
1632,True Blood,(2008–2014),7.9,219659,NaN
1633,The Reader,(2008),7.6,218503,58
1634,Valkyrie,(2008),7.1,214561,56
1635,21,(2008),6.8,214415,48
1636,Role Models,(2008),6.8,211909,61
1637,Fringe,(2008–2013),8.4,207572,NaN
1638,Rambo,(2008),7.0,202651,46
1639,Body of Lies,(2008),7.1,200125,57
1640,Yip Man,(2008),8.0,196800,59
1641,Låt den rätte komma in,(2008),7.9,195654,82
1642,Mamma Mia!,(2008),6.4,194898,51
1643,Get Smart,(2008),6.5,190818,54
1644,Death Race,(2008),6.4,188317,43
1645,The Happening,(2008),5.0,186896,34
1646,Madagascar: Escape 2 Africa,(2008),6.7,185495,61
1647,The Chronicles of Narnia: Prince Caspian,(2008),6.5,180242,62
1648,Revolutionary Road,(2008),7.3,179201,69
1649,You Don't Mess with the Zohan,(2008),5.5,178322,54
1650,The Dark Knight,(2008),9.0,2078768,84
1651,Breaking Bad,(2008–2013),9.5,1232827,NaN
1652,WALL·E,(2008),8.4,912884,95
1653,Iron Man,(2008),7.9,870618,79
1654,Slumdog Millionaire,(2008),8.0,749684,86
1655,Gran Torino,(2008),8.1,672762,72
1656,The Curious Case of Benjamin Button,(2008),7.8,541851,70
1657,Taken,(I) (2008),7.8,539945,51
1658,Hancock,(2008),6.4,414123,49
1659,The Incredible Hulk,(2008),6.7,405109,61
1660,Twilight,(I) (2008),5.2,396116,56
1661,Indiana Jones and the Kingdom of the Crystal Skull,(2008),6.2,394947,65
1662,The Hurt Locker,(2008),7.6,394128,94
1663,Kung Fu Panda,(2008),7.6,383581,73
1664,Quantum of Solace,(2008),6.6,378895,58
1665,In Bruges,(2008),7.9,363120,67
1666,Tropic Thunder,(2008),7.0,352988,71
1667,Cloverfield,(2008),7.0,352343,64
1668,Wanted,(2008),6.7,341312,64
1669,Yes Man,(2008),6.8,311911,46
1670,Pineapple Express,(2008),7.0,295056,64
1671,Burn After Reading,(2008),7.0,288708,63
1672,The Wrestler,(2008),7.9,277792,81
1673,Jumper,(2008),6.1,273029,35
1674,Seven Pounds,(2008),7.6,269353,36
1675,Forgetting Sarah Marshall,(2008),7.2,248565,67
1676,Step Brothers,(2008),6.9,247928,51
1677,Hellboy II: The Golden Army,(2008),7.0,242563,78
1678,Sons of Anarchy,(2008–2014),8.6,232249,NaN
1679,Vicky Cristina Barcelona,(2008),7.1,228447,70
1680,Changeling,(2008),7.7,223780,63
1681,RocknRolla,(2008),7.3,220532,53
1682,True Blood,(2008–2014),7.9,219659,NaN
1683,The Reader,(2008),7.6,218503,58
1684,Valkyrie,(2008),7.1,214561,56
1685,21,(2008),6.8,214415,48
1686,Role Models,(2008),6.8,211909,61
1687,Fringe,(2008–2013),8.4,207572,NaN
1688,Rambo,(2008),7.0,202651,46
1689,Body of Lies,(2008),7.1,200125,57
1690,Yip Man,(2008),8.0,196800,59
1691,Låt den rätte komma in,(2008),7.9,195654,82
1692,Mamma Mia!,(2008),6.4,194898,51
1693,Get Smart,(2008),6.5,190818,54
1694,Death Race,(2008),6.4,188317,43
1695,The Happening,(2008),5.0,186896,34
1696,Madagascar: Escape 2 Africa,(2008),6.7,185495,61
1697,The Chronicles of Narnia: Prince Caspian,(2008),6.5,180242,62
1698,Revolutionary Road,(2008),7.3,179201,69
1699,You Don't Mess with the Zohan,(2008),5.5,178322,54
