,movie,year,imdb,votes,metascore
332,Swordfish,(2001),6.5,169402,32
333,K-PAX,(2001),7.4,167582,49
334,Legally Blonde,(2001),6.3,166671,59
335,24,(2001–2010),8.4,163614,NaN
336,A Knight's Tale,(2001),6.9,158168,56
337,Jay and Silent Bob Strike Back,(2001),6.9,141566,51
338,From Hell,(2001),6.8,139807,54
339,Scary Movie 2,(2001),5.3,139095,29
340,I Am Sam,(2001),7.6,136280,28
341,Spy Game,(2001),7.1,136107,63
342,Shallow Hal,(2001),5.9,121232,48
343,The Princess Diaries,(2001),6.3,117014,52
344,The Score,(2001),6.8,113406,71
345,Evolution,(2001),6.1,113327,40
346,Six Feet Under,(2001–2005),8.7,111305,NaN
347,Smallville,(2001–2011),7.5,109372,NaN
348,Y tu mamá también,(2001),7.7,107686,88
349,Ghost World,(2001),7.4,107201,88
350,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,1519500,92
351,A Beautiful Mind,(2001),8.2,775103,72
352,"Monsters, Inc.",(2001),8.1,744603,78
353,Donnie Darko,(2001),8.1,700798,71
354,Amélie,(2001),8.3,655383,69
355,Harry Potter and the Sorcerer's Stone,(2001),7.6,573847,64
356,Shrek,(2001),7.9,565753,84
357,Sen to Chihiro no kamikakushi,(2001),8.6,562948,96
358,Ocean's Eleven,(2001),7.8,476052,74
359,Training Day,(2001),7.7,358373,69
360,Black Hawk Down,(2001),7.7,341093,74
361,Band of Brothers,(2001),9.5,327160,NaN
362,The Fast and the Furious,(2001),6.8,321945,58
363,The Others,(2001),7.6,314819,74
364,Pearl Harbor,(2001),6.1,294042,44
365,Mulholland Dr.,(2001),8.0,292227,83
366,The Mummy Returns,(2001),6.4,285235,48
367,Jurassic Park III,(2001),5.9,275527,42
368,Artificial Intelligence: AI,(2001),7.1,275499,65
369,Moulin Rouge!,(2001),7.6,252628,66
370,The Royal Tenenbaums,(2001),7.6,246853,76
371,Hannibal,(2001),6.8,237804,57
372,Vanilla Sky,(2001),6.9,235051,45
373,Zoolander,(2001),6.6,232202,61
374,American Pie 2,(2001),6.4,226322,43
375,Enemy at the Gates,(2001),7.6,225844,53
376,Blow,(2001),7.6,224688,52
377,Scrubs,(2001–2010),8.4,224622,NaN
378,Bridget Jones's Diary,(2001),6.7,207745,66
379,Planet of the Apes,(2001),5.7,202063,50
380,Rush Hour 2,(2001),6.6,186372,48
381,Lara Croft: Tomb Raider,(2001),5.8,186353,33
382,Swordfish,(2001),6.5,169402,32
383,K-PAX,(2001),7.4,167582,49
384,Legally Blonde,(2001),6.3,166671,59
385,24,(2001–2010),8.4,163614,NaN
386,A Knight's Tale,(2001),6.9,158168,56
387,Jay and Silent Bob Strike Back,(2001),6.9,141566,51
388,From Hell,(2001),6.8,139807,54
389,Scary Movie 2,(2001),5.3,139095,29
390,I Am Sam,(2001),7.6,136280,28
391,Spy Game,(2001),7.1,136107,63
392,Shallow Hal,(2001),5.9,121232,48
393,The Princess Diaries,(2001),6.3,117014,52
394,The Score,(2001),6.8,113406,71
395,Evolution,(2001),6.1,113327,40
396,Six Feet Under,(2001–2005),8.7,111305,NaN
397,Smallville,(2001–2011),7.5,109372,NaN
398,Y tu mamá también,(2001),7.7,107686,88
399,Ghost World,(2001),7.4,107201,88
400,The Lord of the Rings: The Two Towers,(2002),8.7,1359908,87
401,Catch Me If You Can,(2002),8.1,725048,75
402,Cidade de Deus,(2002),8.6,648700,79
403,The Pianist,(2002),8.5,648514,85
404,Spider-Man,(2002),7.3,643786,73
405,Star Wars: Episode II - Attack of the Clones,(2002),6.6,577874,54
406,Harry Potter and the Chamber of Secrets,(2002),7.4,496392,63
407,The Bourne Identity,(2002),7.9,476970,68
408,Minority Report,(2002),7.6,471752,80
409,Ice Age,(2002),7.5,404816,60
410,Gangs of New York,(2002),7.6,373200,72
411,28 Days Later...,(2002),7.6,347085,73
412,Signs,(2002),6.7,318182,59
413,Men in Black II,(2002),6.1,316908,49
414,The Ring,(2002),7.1,299330,57
415,Equilibrium,(2002),7.5,296939,33
416,The Transporter,(2002),6.8,270382,51
417,Insomnia,(2002),7.2,254558,78
418,The Wire,(2002–2008),9.3,249009,NaN
419,Panic Room,(2002),6.8,238209,65
